Timestamp,Are you:,What is your job title?,How would you rate your level of expertise?,Where are you based?,Country of residence,What is your daily rate in USD ($)?,What is your daily rate in USD ($)?,Do you primarily work …,How do you normally bill for work?,How many hours a day do you normally work?,How many days per week do you normally work?,Where do you primarily work?,Do you use contracts?,Do you usually ask for a deposit up front?,What payment terms do you normally use?,Do you have/use an accountant?,Do you use any accounting software?
1/14/2015 11:59:25,A company (2 or more employees),Web developer,Intermediate,North America,United States of America,340,340,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template","Yes, fixed amount",Payment within 14 days of completion,"No, I self-account",Quickbooks
1/14/2015 12:30:01,A company (2 or more employees),web designer developer,Intermediate,North America,United States of America,750,750,Direct with clients,"Time-based, hour rate",less than seven hours a day,five days per week,Dedicated office,"Yes, adapted from a template","Yes, fixed amount",Payment within 28 days of completion,"Yes, I use a local accountant",billings
1/14/2015 16:06:20,A company (2 or more employees),Web designer,Intermediate,North America,United States of America,840,840,Direct with clients,"Fixed rate, by project",less than seven hours a day,four days per week,From home,"Yes, adapted from a template",No,Payment within 28 days of completion,"No, I self-account",
1/14/2015 19:07:26,A company (2 or more employees),Creative Director,Pro,North America,United States of America,600,600,In conjunction with other freelancers/agencies,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template",No,Payment within 28 days of completion,"Yes, I use a local accountant",
1/14/2015 20:16:17,A company (2 or more employees),Visual Designer,Pro,North America,United States of America,375,375,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment greater than 28 days of completion,"No, I self-account",
1/15/2015 4:37:23,A company (2 or more employees),Director of Information Technology,Intermediate,North America,United States of America,750,750,Direct with clients,"Fixed rate, by project",between 9 and 11 hours a day,more than five days per week,Dedicated office,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",
1/19/2015 16:59:08,A company (2 or more employees),Owner,Pro,North America,United States of America,$750,$750,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",50% down 25% prototype 25% completion,"Yes, I use a local accountant",Quickbooks
1/19/2015 17:17:55,A company (2 or more employees),Director,Pro,North America,United States of America,800,800,Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,more than five days per week,Dedicated office,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",Freeagent
1/21/2015 9:25:21,A company (2 or more employees),owner,Pro,North America,United States of America,800,800,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,more than five days per week,,,,,,
1/14/2015 13:07:54,Corp,President,Pro,North America,United States of America,$337,$337,Direct with clients,"Time-based, hour rate",less than seven hours a day,five days per week,From home,"No, I don’t normally use contracts","Yes, fixed amount",30 days,"Yes, I use a local accountant",Quickbooks
1/12/2015 16:41:29,Employed,Web Developer,Pro,North America,United States of America,250,250,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template",No,Payment within 28 days of completion,"Yes, I use a local accountant",
1/14/2015 13:16:42,Employed,senior interactive web developer,Pro,North America,United States of America,250,250,250,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 7 days of completion,"Yes, I use an online service",tax slayer
1/14/2015 13:31:42,Employed,senior designer,Pro,North America,United States of America,560,560,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,From home,"Yes, adapted from a template",No,Payment within 28 days of completion,"No, I self-account",
1/14/2015 20:47:59,Employed,Front-end Software Engineer,Pro,North America,United States of America,937.5,937.5,In conjunction with other freelancers/agencies,"Time-based, hour rate",between 9 and 11 hours a day,more than five days per week,Dedicated office,"Yes, adapted from a template","Yes, fixed amount",Payment within 7 days of completion,"Yes, I use a local accountant",
1/15/2015 3:16:21,Employed,technical Project manager,Intermediate,North America,United States of America,840,840,Direct with clients,"Fixed rate, by project",more than 11 hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 7 days of completion,"Yes, I use a local accountant",
1/17/2015 3:33:20,Employed,,Beginner,North America,United States of America,90,90,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template",No,Payment greater than 28 days of completion,"Yes, I use an online service",
1/19/2015 12:50:03,Employed,Graphic Designer,Intermediate,North America,United States of America,120,120,In house designer,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"No, I don’t normally use contracts",No,,"Yes, I use a local accountant",no
1/26/2015 14:25:32,Employed,Web Architect,Pro,North America,United States of America,1500,1500,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer","Yes, 10-20% of total estimate",Payment greater than 28 days of completion,"Yes, I use a local accountant",
1/12/2015 16:12:09,Freelance,Front End Developer,Pro,North America,United States of America,562.5,562.5,As a sub-contractor,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 7 days of completion,"Yes, I use a local accountant",Quickbooks
1/12/2015 16:55:35,Freelance,frontend dev,Pro,North America,United States of America,1000,1000,Direct with clients,Weekly rate,between 9 and 11 hours a day,more than five days per week,From home,"Yes, drafted by lawyer","Yes, fixed amount",Net30,"No, I self-account",Outright
1/12/2015 17:32:30,Freelance,Web Application Developer,Intermediate,North America,United States of America,375,375,Direct with clients,"Fixed rate, by project",less than seven hours a day,less than four days per week,From home,"Yes, adapted from a template","Yes, 10-20% of total estimate",Payment within 7 days of completion,"No, I self-account",
1/13/2015 3:18:03,Freelance,Web Developer,Pro,North America,United States of America,600,600,As a sub-contractor,"Time-based, hour rate",between 7 and 9 hours a day,more than five days per week,From home,"Yes, adapted from a template","Yes, fixed amount",Payment within 28 days of completion,"No, I self-account",
1/14/2015 12:42:40,Freelance,web designer,Intermediate,North America,United States of America,100,100,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,four days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",final payment to receive product,"No, I self-account",quickbook
1/14/2015 12:50:37,Freelance,,Beginner,North America,United States of America,225,225,Direct with clients,"Fixed rate, by project",less than seven hours a day,less than four days per week,From home,"No, I don’t normally use contracts",No,Payment within 7 days of completion,"No, I self-account",
1/14/2015 12:55:02,Freelance,,Intermediate,North America,United States of America,375,375,Direct with clients,Both hourly and project rates,less than seven hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",17hats and excel
1/14/2015 13:29:50,Freelance,Creative Principal,Pro,North America,United States of America,300,300,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate","payment in installments, but all monies must be paid before the project is completed and handed over to the client","Yes, I use a local accountant",Freshbooks
1/14/2015 14:23:06,Freelance,Web Developer,Pro,North America,United States of America,900,900,Direct with clients,Blend of above based on project in question,between 7 and 9 hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",payment within 21 days of completion,"Yes, I use a local accountant",Freshbooks
1/14/2015 14:30:32,Freelance,Front end developer ,Pro,North America,United States of America,450,450,As a sub-contractor,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Co-working space,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use an online service",Fresh books 
1/14/2015 15:50:07,Freelance,,Beginner,North America,United States of America,150,150,Direct with clients,"Fixed rate, by project",less than seven hours a day,more than five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment upon site installation or work completition and review.,"Yes, I use an online service",wave
1/14/2015 16:04:14,Freelance,"Owner, designer, programmer, artist",Intermediate,North America,United States of America,525,525,Direct with clients,"Time-based, hour rate",less than seven hours a day,more than five days per week,Dedicated office,"No, I don’t normally use contracts","Yes, 10-20% of total estimate",Payment within 28 days of completion,"No, I self-account",Excel spreadsheet 
1/14/2015 18:30:59,Freelance,designer ,Pro,North America,United States of America,320,320,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 7 days of completion,"No, I self-account",no
1/14/2015 18:55:35,Freelance,Web Designer,Pro,North America,United States of America,750,750,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",
1/14/2015 20:05:29,Freelance,Creative Director/Designer/Developer,Pro,North America,United States of America,1000,1000,In conjunction with other freelancers/agencies,"Fixed rate, by project",less than seven hours a day,five days per week,From home,"Yes, adapted from a template",No,Payment within 28 days of completion,"No, I self-account",Freshbooks
1/14/2015 20:12:46,Freelance,Designer,Pro,North America,United States of America,1040,1040,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,From home,"No, I don’t normally use contracts",No,on receipt,"Yes, I use a local accountant",
1/14/2015 20:19:08,Freelance,web developer,Pro,North America,United States of America,900,900,In conjunction with other freelancers/agencies,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Dedicated office,"No, I don’t normally use contracts",No,Payment within 28 days of completion,"Yes, I use a local accountant",
1/14/2015 20:54:54,Freelance,Development director,Pro,North America,United States of America,1600,1600,Direct as well as with other agencies,Hourly and fixed as applicable,less than seven hours a day,more than five days per week,Co-working space,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 28 days of completion,"No, I self-account",FreshBooks
1/14/2015 23:25:57,Freelance,designer,Pro,North America,United States of America,950,950,Direct with clients,"Time-based, hour rate",less than seven hours a day,four days per week,,,,,,
1/15/2015 0:58:06,Freelance,front-end web developer,Intermediate,North America,United States of America,375,375,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 14 days of completion,"No, I self-account",
1/15/2015 2:01:17,Freelance,Creative Professional,Pro,North America,United States of America,800,800,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,four days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 28 days of completion,"No, I self-account",
1/15/2015 3:01:43,Freelance,,Intermediate,North America,United States of America,350,350,Direct with clients,"Fixed rate, by project",less than seven hours a day,less than four days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use an online service",Freshbooks
1/15/2015 3:07:25,Freelance,Web Development,Intermediate,North America,United States of America,375,375,Direct with clients,"Time-based, hour rate",less than seven hours a day,more than five days per week,From home,"Yes, adapted from a template","Yes, fixed amount",Payment within 7 days of completion,"No, I self-account",Quickbooks
1/15/2015 14:27:20,Freelance,Junior Designer,Beginner,North America,United States of America,112.5,112.5,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,four days per week,From home,"Yes, adapted from a template",No,Payment within 28 days of completion,"Yes, I use an online service",Wave
1/15/2015 23:40:03,Freelance,Owner,Intermediate,North America,United States of America,300,300,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,four days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 7 days of completion,"No, I self-account",
1/16/2015 15:16:49,Freelance,Technical Marketer,Pro,North America,United States of America,"$1,000","$1,000",Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,Co-working space,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 7 days of completion,"Yes, I use a local accountant",
1/16/2015 15:17:43,Freelance,Graphic Designer,Pro,North America,United States of America,$35,$35,In conjunction with other freelancers/agencies,"Fixed rate, by project",more than 11 hours a day,more than five days per week,From home,"Yes, adapted from a template","Yes, fixed amount",Payment due upon receipt,"No, I self-account",Quickbooks
1/16/2015 18:24:09,Freelance,Web Graphic Designer,Pro,North America,United States of America,$300,$300,Direct with clients,Value based,between 7 and 9 hours a day,less than four days per week,From home,"Yes, adapted from a template","Yes, fixed amount",Payment within 7 days of completion,"No, I self-account",
1/17/2015 7:21:32,Freelance,Graphic Designer,Intermediate,North America,United States of America,187.5,187.5,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,less than four days per week,From home,"No, I don’t normally use contracts","Yes, fixed amount",Payment within 7 days of completion,"No, I self-account",No
1/18/2015 16:08:35,Freelance,web designer,Intermediate,North America,United States of America,487.5,487.5,Direct with clients,"Fixed rate, by project",less than seven hours a day,less than four days per week,Coffee shop or similar,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 14 days of completion,"No, I self-account",No
1/18/2015 23:30:03,Freelance,,Pro,North America,United States of America,450,450,In conjunction with other freelancers/agencies,"Mix of hourly and fixed rate, by project",between 7 and 9 hours a day,more than five days per week,From home,"No, I don’t normally use contracts",No,Mix of bill monthly net 30 and bill in 3 payments over course of project,"No, I self-account",quickbooks
1/19/2015 10:32:16,Freelance,Creative Director,Intermediate,North America,United States of America,562.5,562.5,Direct with clients,"Fixed rate, by project",less than seven hours a day,four days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Due upon completion. ,"Yes, I use an online service",Freshbooks
1/19/2015 14:10:58,Freelance,owner/designer,Intermediate,North America,United States of America,200,200,Direct with clients,"Time-based, hour rate",less than seven hours a day,five days per week,From home,"No, I don’t normally use contracts","Yes, 10-20% of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",no
1/20/2015 2:34:18,Freelance,Web Developer,Intermediate,North America,United States of America,262.5,262.5,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 10 days of completion,"No, I self-account",
1/14/2015 15:19:21,Sole proprietor of corporation,Web Designer,Pro,North America,United States of America,750,750,Direct with clients,"Sometimes hourly, sometimes per project",between 7 and 9 hours a day,five days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",
1/19/2015 14:11:44,Freelance,Web developer,Intermediate,South America,Venezuela,20,20,In conjunction with other freelancers/agencies,"Fixed rate, by project",less than seven hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 7 days of completion,"No, I self-account",
1/12/2015 15:30:28,A company (2 or more employees),Founder,Pro,North America,Zimbabwe,0,0,Direct with clients,Value based,between 7 and 9 hours a day,five days per week,From home,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Due upon receipt,"Yes, I use a local accountant",Xero
1/12/2015 15:47:00,A company (2 or more employees),President,Pro,North America,Zimbabwe,"$1,500","$1,500",Direct with clients,"Time-based, hour rate",less than seven hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer","Yes, 10-20% of total estimate",We invoice weekly (net 15) for time worked the previous week.,"Yes, I use a local accountant",QuickBooks Online
1/14/2015 11:21:08,Freelance,designer,Intermediate,Africa,Zimbabwe,$50,$50,Direct with clients,"Fixed rate, by project",between 9 and 11 hours a day,more than five days per week,From home,"No, I don’t normally use contracts",No,Payment within 28 days of completion,"No, I self-account",no
,,,,,,,$400,,,,,,,,,,
